,Method,Relative Error (%),Iter
103,Double Model Lasso Matching Mean,114.45857034615034,0
104,Double Model Lasso Matching Mean,26.380199079009824,0
105,Double Model Lasso Matching Mean,16.044068873096688,0
106,Double Model Lasso Matching Mean,32.839526682031334,0
107,Double Model Lasso Matching Mean,33.253246029313864,0
108,Double Model Lasso Matching Mean,40.08557719659405,0
109,Double Model Lasso Matching Mean,306.40119098693697,0
110,Double Model Lasso Matching Mean,18.459365814613733,0
111,Double Model Lasso Matching Mean,239.67053408244863,0
112,Double Model Lasso Matching Mean,71.54297579617315,0
113,Double Model Lasso Matching Mean,247.17240709495817,0
114,Double Model Lasso Matching Mean,20.96477219259395,0
115,Double Model Lasso Matching Mean,173.3352323683523,0
116,Double Model Lasso Matching Mean,111.04479061232406,0
117,Double Model Lasso Matching Mean,218.8003744996268,0
118,Double Model Lasso Matching Mean,94.82104201704765,0
119,Double Model Lasso Matching Mean,20.864956074919004,0
120,Double Model Lasso Matching Mean,15.029641022982393,0
121,Double Model Lasso Matching Mean,0.31439214365551027,0
122,Double Model Lasso Matching Mean,56.9739667346237,0
123,Double Model Lasso Matching Mean,72.59986508600852,0
124,Double Model Lasso Matching Mean,80.69522013498207,0
125,Double Model Lasso Matching Mean,70.00768268187569,0
126,Double Model Lasso Matching Mean,128.56332896273116,0
127,Double Model Lasso Matching Mean,19.25968539680925,0
128,Double Model Lasso Matching Mean,11.319227182582221,0
129,Double Model Lasso Matching Mean,67.62845348363118,0
130,Double Model Lasso Matching Mean,6.530287858775874,0
131,Double Model Lasso Matching Mean,49.11149191148578,0
132,Double Model Lasso Matching Mean,250.57995644947155,0
133,Double Model Lasso Matching Mean,47.673379050470544,0
134,Double Model Lasso Matching Mean,21.801205920201667,0
135,Double Model Lasso Matching Mean,108.4044548178429,0
136,Double Model Lasso Matching Mean,171.9816796770722,0
137,Double Model Lasso Matching Mean,108.6340562052766,0
138,Double Model Lasso Matching Mean,174.78701384667445,0
139,Double Model Lasso Matching Mean,214.99405060898212,0
140,Double Model Lasso Matching Mean,40.531033226573065,0
141,Double Model Lasso Matching Mean,37.92992420121214,0
142,Double Model Lasso Matching Mean,65.35558042329163,0
143,Double Model Lasso Matching Mean,68.57430697532936,0
144,Double Model Lasso Matching Mean,64.4818857408497,0
145,Double Model Lasso Matching Mean,9.573009871516252,0
146,Double Model Lasso Matching Mean,97.73463477637985,0
147,Double Model Lasso Matching Mean,149.90990959519635,0
148,Double Model Lasso Matching Mean,119.4617411990337,0
149,Double Model Lasso Matching Mean,81.85956340476704,0
150,Double Model Lasso Matching Mean,0.4348318062504399,0
151,Double Model Lasso Matching Mean,299.965823989576,0
152,Double Model Lasso Matching Mean,7.056587295721315,0
153,Double Model Lasso Matching Mean,48.689122704699926,0
154,Double Model Lasso Matching Mean,167.46489549422557,0
155,Double Model Lasso Matching Mean,72.28544496764438,0
156,Double Model Lasso Matching Mean,83.06796716690998,0
157,Double Model Lasso Matching Mean,82.2918687191787,0
158,Double Model Lasso Matching Mean,496.55180310179156,0
159,Double Model Lasso Matching Mean,71.20916252005426,0
160,Double Model Lasso Matching Mean,144.65307905623396,0
161,Double Model Lasso Matching Mean,180.6470176844676,0
162,Double Model Lasso Matching Mean,104.50522856826198,0
163,Double Model Lasso Matching Mean,32.278748009184355,0
164,Double Model Lasso Matching Mean,566.3280863977282,0
165,Double Model Lasso Matching Mean,38.95501435688655,0
166,Double Model Lasso Matching Mean,61.339059165734234,0
167,Double Model Lasso Matching Mean,118.43196588601155,0
168,Double Model Lasso Matching Mean,103.29610733774877,0
169,Double Model Lasso Matching Mean,18.309172403617506,0
170,Double Model Lasso Matching Mean,137.19612629916531,0
171,Double Model Lasso Matching Mean,53.1410105385523,0
172,Double Model Lasso Matching Mean,152.7569031938786,0
173,Double Model Lasso Matching Mean,16.56117120983219,0
174,Double Model Lasso Matching Mean,3.537151256975147,0
175,Double Model Lasso Matching Mean,138.96255296157014,0
176,Double Model Lasso Matching Mean,189.18799245406913,0
177,Double Model Lasso Matching Mean,77.45553894458442,0
178,Double Model Lasso Matching Mean,144.4512540215544,0
179,Double Model Lasso Matching Mean,58.45877655757988,0
180,Double Model Lasso Matching Mean,38.71917697294027,0
181,Double Model Lasso Matching Mean,53.66578642172593,0
182,Double Model Lasso Matching Mean,27.17904899592181,0
183,Double Model Lasso Matching Mean,7.112452031561016,0
184,Double Model Lasso Matching Mean,52.309065233068885,0
185,Double Model Lasso Matching Mean,116.83008233459384,0
186,Double Model Lasso Matching Mean,29.12092628664555,0
187,Double Model Lasso Matching Mean,54.05484982268983,0
188,Double Model Lasso Matching Mean,14.47202473088473,0
189,Double Model Lasso Matching Mean,121.10498770660436,0
190,Double Model Lasso Matching Mean,114.06012044880197,0
191,Double Model Lasso Matching Mean,121.49331052934625,0
192,Double Model Lasso Matching Mean,164.41121391585622,0
193,Double Model Lasso Matching Mean,62.46400526348371,0
194,Double Model Lasso Matching Mean,103.2843494914314,0
195,Double Model Lasso Matching Mean,3.806890690456159,0
196,Double Model Lasso Matching Mean,35.57316929448915,0
197,Double Model Lasso Matching Mean,136.1921823007985,0
198,Double Model Lasso Matching Mean,133.27147437601965,0
199,Double Model Lasso Matching Mean,87.88971586252914,0
200,Double Model Lasso Matching Mean,47.43124054166957,0
201,Double Model Lasso Matching Mean,202.16521210892847,0
202,Double Model Lasso Matching Mean,256.1923769259558,0
203,Double Model Lasso Matching Mean,53.39916559732227,0
204,Double Model Lasso Matching Mean,230.92866975871206,0
205,Double Model Lasso Matching Mean,71.87697553290882,0
206,Double Model Lasso Matching Mean,81.73353245974268,0
207,Double Model Lasso Matching Mean,84.04722687622484,0
208,Double Model Lasso Matching Mean,39.85875265725205,0
209,Double Model Lasso Matching Mean,76.12494272684224,0
210,Double Model Lasso Matching Mean,49.91227108533463,0
211,Double Model Lasso Matching Mean,13.601298462817029,0
212,Double Model Lasso Matching Mean,20.54738040676836,0
213,Double Model Lasso Matching Mean,250.18755732666617,0
214,Double Model Lasso Matching Mean,95.51132587943256,0
215,Double Model Lasso Matching Mean,138.63255780059012,0
216,Double Model Lasso Matching Mean,8.80245739723371,0
217,Double Model Lasso Matching Mean,47.475999305230964,0
218,Double Model Lasso Matching Mean,89.13925611659901,0
219,Double Model Lasso Matching Mean,7.763037026883435,0
220,Double Model Lasso Matching Mean,28.61875595749437,0
221,Double Model Lasso Matching Mean,188.04258862292127,0
222,Double Model Lasso Matching Mean,16.53817030074183,0
223,Double Model Lasso Matching Mean,108.11930890377934,0
224,Double Model Lasso Matching Mean,119.72945351361788,0
225,Double Model Lasso Matching Mean,30.19396455756992,0
226,Double Model Lasso Matching Mean,53.79885503580265,0
227,Double Model Lasso Matching Mean,396.5762541939194,0
228,Double Model Lasso Matching Mean,191.6042385505962,0
229,Double Model Lasso Matching Mean,36.95608980642646,0
230,Double Model Lasso Matching Mean,67.95715954393177,0
231,Double Model Lasso Matching Mean,64.85678892718381,0
232,Double Model Lasso Matching Mean,220.22804174120802,0
233,Double Model Lasso Matching Mean,8.559887123820898,0
234,Double Model Lasso Matching Mean,38.9439105756914,0
235,Double Model Lasso Matching Mean,289.92452773368285,0
236,Double Model Lasso Matching Mean,160.1668663090482,0
237,Double Model Lasso Matching Mean,4.487488655460688,0
238,Double Model Lasso Matching Mean,125.67860323721416,0
239,Double Model Lasso Matching Mean,36.89156373153245,0
240,Double Model Lasso Matching Mean,22.609677376429378,0
241,Double Model Lasso Matching Mean,151.85151405711653,0
242,Double Model Lasso Matching Mean,75.82600077684123,0
243,Double Model Lasso Matching Mean,206.07247991153318,0
244,Double Model Lasso Matching Mean,8.105575992538157,0
245,Double Model Lasso Matching Mean,164.46305812130296,0
246,Double Model Lasso Matching Mean,47.08606996290014,0
247,Double Model Lasso Matching Mean,86.42594934038081,0
248,Double Model Lasso Matching Mean,58.49440651721438,0
249,Double Model Lasso Matching Mean,160.41169349056187,0
250,Double Model Lasso Matching Mean,4.92979865352307,0
251,Double Model Lasso Matching Mean,245.7314874591928,0
252,Double Model Lasso Matching Mean,20.93274654008168,0
253,Double Model Lasso Matching Mean,81.77060505572594,0
254,Double Model Lasso Matching Mean,159.99041151826415,0
255,Double Model Lasso Matching Mean,45.627557432922124,0
256,Double Model Lasso Matching Mean,28.317881569634988,0
257,Double Model Lasso Matching Mean,42.04384689518376,0
258,Double Model Lasso Matching Mean,2.249127884839166,0
259,Double Model Lasso Matching Mean,31.116922275693643,0
260,Double Model Lasso Matching Mean,146.49538087541586,0
261,Double Model Lasso Matching Mean,40.61768540816745,0
262,Double Model Lasso Matching Mean,45.29109254358162,0
263,Double Model Lasso Matching Mean,66.7258889827532,0
264,Double Model Lasso Matching Mean,51.83379522925789,0
265,Double Model Lasso Matching Mean,91.47022352823133,0
266,Double Model Lasso Matching Mean,23.831908233416062,0
267,Double Model Lasso Matching Mean,78.85044145362379,0
268,Double Model Lasso Matching Mean,3.669674787026208,0
269,Double Model Lasso Matching Mean,14.540604713482267,0
270,Double Model Lasso Matching Mean,134.04321278581904,0
271,Double Model Lasso Matching Mean,0.7418933837140039,0
272,Double Model Lasso Matching Mean,22.315120438370737,0
273,Double Model Lasso Matching Mean,194.24662870761887,0
274,Double Model Lasso Matching Mean,53.38316477103291,0
275,Double Model Lasso Matching Mean,423.25357118608133,0
276,Double Model Lasso Matching Mean,100.15318271151075,0
277,Double Model Lasso Matching Mean,66.34543703966622,0
278,Double Model Lasso Matching Mean,11.273718187321137,0
279,Double Model Lasso Matching Mean,55.553162395485955,0
280,Double Model Lasso Matching Mean,79.43267604456628,0
281,Double Model Lasso Matching Mean,266.02360098634773,0
282,Double Model Lasso Matching Mean,12.20308581434101,0
283,Double Model Lasso Matching Mean,132.86566977328584,0
284,Double Model Lasso Matching Mean,19.007455413197576,0
285,Double Model Lasso Matching Mean,122.83375110966028,0
286,Double Model Lasso Matching Mean,60.16826675891495,0
287,Double Model Lasso Matching Mean,23.35674481312341,0
288,Double Model Lasso Matching Mean,6.153326514071171,0
289,Double Model Lasso Matching Mean,9.556403268378892,0
290,Double Model Lasso Matching Mean,112.10421771414063,0
291,Double Model Lasso Matching Mean,69.80198942316144,0
292,Double Model Lasso Matching Mean,91.85121741639061,0
293,Double Model Lasso Matching Mean,20.483699191615525,0
294,Double Model Lasso Matching Mean,138.80333626478648,0
295,Double Model Lasso Matching Mean,134.88943499164156,0
296,Double Model Lasso Matching Mean,63.583423169905984,0
297,Double Model Lasso Matching Mean,9.263115889494541,0
298,Double Model Lasso Matching Mean,14.288915240138195,0
299,Double Model Lasso Matching Mean,155.38057887686253,0
300,Double Model Lasso Matching Mean,66.84431985663208,0
301,Double Model Lasso Matching Mean,87.59081213473307,0
302,Double Model Lasso Matching Mean,50.794501207401886,0
303,Double Model Lasso Matching Mean,5.821595103230033,0
304,Double Model Lasso Matching Mean,25.755511466094656,0
305,Double Model Lasso Matching Mean,171.6258851078932,0
306,Double Model Lasso Matching Mean,16.09385060791758,0
307,Double Model Lasso Matching Mean,360.35430042769605,0
308,Double Model Lasso Matching Mean,181.7468433045336,0
309,Double Model Lasso Matching Mean,164.30536787792943,0
310,Double Model Lasso Matching Mean,204.05987559863473,0
311,Double Model Lasso Matching Mean,71.29338478900816,0
312,Double Model Lasso Matching Mean,116.0743331559986,0
313,Double Model Lasso Matching Mean,117.85517420364411,0
314,Double Model Lasso Matching Mean,332.50659263802703,0
315,Double Model Lasso Matching Mean,249.57850612206647,0
316,Double Model Lasso Matching Mean,125.91202364012722,0
317,Double Model Lasso Matching Mean,205.59229432209634,0
318,Double Model Lasso Matching Mean,66.39893123805803,0
319,Double Model Lasso Matching Mean,32.71114483770327,0
320,Double Model Lasso Matching Mean,50.60879825950779,0
321,Double Model Lasso Matching Mean,12.924833386277543,0
322,Double Model Lasso Matching Mean,181.4379752858781,0
323,Double Model Lasso Matching Mean,3.8950416005902966,0
324,Double Model Lasso Matching Mean,190.22330335931454,0
325,Double Model Lasso Matching Mean,200.72361043230978,0
326,Double Model Lasso Matching Mean,5.620007094095008,0
327,Double Model Lasso Matching Mean,12.313490065912328,0
328,Double Model Lasso Matching Mean,102.80333557165093,0
329,Double Model Lasso Matching Mean,137.8191710703317,0
330,Double Model Lasso Matching Mean,32.638984643876924,0
331,Double Model Lasso Matching Mean,54.807571526465225,0
332,Double Model Lasso Matching Mean,218.0545984843029,0
333,Double Model Lasso Matching Mean,43.58592477103522,0
334,Double Model Lasso Matching Mean,102.5309940532511,0
335,Double Model Lasso Matching Mean,25.27915751747119,0
336,Double Model Lasso Matching Mean,2.588105057048182,0
337,Double Model Lasso Matching Mean,296.72079435872195,0
338,Double Model Lasso Matching Mean,169.9553925154563,0
339,Double Model Lasso Matching Mean,40.07660320140328,0
340,Double Model Lasso Matching Mean,226.1062111064621,0
341,Double Model Lasso Matching Mean,5.424704774386805,0
342,Double Model Lasso Matching Mean,62.568105913879194,0
343,Double Model Lasso Matching Mean,129.11668782794015,0
344,Double Model Lasso Matching Mean,119.34817923335241,0
345,Double Model Lasso Matching Mean,252.45921587962613,0
346,Double Model Lasso Matching Mean,72.54467843704501,0
347,Double Model Lasso Matching Mean,258.9353301295609,0
348,Double Model Lasso Matching Mean,175.84648616368378,0
349,Double Model Lasso Matching Mean,7.457899219665546,0
350,Double Model Lasso Matching Mean,143.5732412755676,0
351,Double Model Lasso Matching Mean,503.2676808838952,0
352,Double Model Lasso Matching Mean,75.33350931694996,0
353,Double Model Lasso Matching Mean,178.55161115208094,0
354,Double Model Lasso Matching Mean,57.03904187679563,0
355,Double Model Lasso Matching Mean,56.75968344275007,0
356,Double Model Lasso Matching Mean,139.9748542071198,0
357,Double Model Lasso Matching Mean,55.95520744140804,0
358,Double Model Lasso Matching Mean,4.044860087441315,0
359,Double Model Lasso Matching Mean,156.6459161693439,0
360,Double Model Lasso Matching Mean,42.33516357752407,0
361,Double Model Lasso Matching Mean,69.2091136398906,0
362,Double Model Lasso Matching Mean,57.739368500488865,0
363,Double Model Lasso Matching Mean,25.475442308088308,0
364,Double Model Lasso Matching Mean,116.17682593727663,0
365,Double Model Lasso Matching Mean,175.78987736584318,0
366,Double Model Lasso Matching Mean,1.5798603729902851,0
367,Double Model Lasso Matching Mean,132.89977041356573,0
368,Double Model Lasso Matching Mean,52.94478130949295,0
369,Double Model Lasso Matching Mean,165.20485299955715,0
370,Double Model Lasso Matching Mean,193.19001564391564,0
371,Double Model Lasso Matching Mean,238.83778956788797,0
372,Double Model Lasso Matching Mean,56.41279572595923,0
373,Double Model Lasso Matching Mean,186.75716428406116,0
374,Double Model Lasso Matching Mean,36.56232825650878,0
375,Double Model Lasso Matching Mean,159.44963100740387,0
376,Double Model Lasso Matching Mean,208.3191202984783,0
377,Double Model Lasso Matching Mean,130.7977156978996,0
378,Double Model Lasso Matching Mean,34.63501266109246,0
379,Double Model Lasso Matching Mean,221.3755385527581,0
380,Double Model Lasso Matching Mean,23.218664073653642,0
381,Double Model Lasso Matching Mean,17.599016768679874,0
382,Double Model Lasso Matching Mean,42.54764181778912,0
383,Double Model Lasso Matching Mean,25.968940609169515,0
384,Double Model Lasso Matching Mean,74.54952388929014,0
385,Double Model Lasso Matching Mean,103.46534450830814,0
386,Double Model Lasso Matching Mean,75.76227136234813,0
387,Double Model Lasso Matching Mean,322.4572140272435,0
388,Double Model Lasso Matching Mean,279.40227891836463,0
389,Double Model Lasso Matching Mean,57.53195303323656,0
390,Double Model Lasso Matching Mean,23.83656786983984,0
391,Double Model Lasso Matching Mean,142.42890258699953,0
392,Double Model Lasso Matching Mean,24.461923200128155,0
393,Double Model Lasso Matching Mean,353.09940652887957,0
394,Double Model Lasso Matching Mean,39.58221112569344,0
395,Double Model Lasso Matching Mean,22.362636271016257,0
396,Double Model Lasso Matching Mean,141.17587522704542,0
397,Double Model Lasso Matching Mean,127.16981054887597,0
398,Double Model Lasso Matching Mean,227.22742251854854,0
399,Double Model Lasso Matching Mean,62.63757390872634,0
400,Double Model Lasso Matching Mean,0.4594415111245477,0
401,Double Model Lasso Matching Mean,59.11705172396676,0
402,Double Model Lasso Matching Mean,17.461803573555382,0
403,Double Model Lasso Matching Mean,100.08221393965194,0
404,Double Model Lasso Matching Mean,58.62201396212089,0
405,Double Model Lasso Matching Mean,83.41278036293906,0
406,Double Model Lasso Matching Mean,84.99987135709287,0
407,Double Model Lasso Matching Mean,131.72903745126163,0
408,Double Model Lasso Matching Mean,76.09155917770357,0
409,Double Model Lasso Matching Mean,1.874465788284089,0
410,Double Model Lasso Matching Mean,150.05533073713121,0
411,Double Model Lasso Matching Mean,3.6437938025231724,0
412,Double Model Lasso Matching Mean,80.86380279529438,0
413,Double Model Lasso Matching Mean,211.54859372650446,0
414,Double Model Lasso Matching Mean,73.91801420803617,0
415,Double Model Lasso Matching Mean,120.16642271575755,0
416,Double Model Lasso Matching Mean,139.07201845847058,0
417,Double Model Lasso Matching Mean,51.042568980341265,0
418,Double Model Lasso Matching Mean,113.07168961369311,0
419,Double Model Lasso Matching Mean,115.3918437993332,0
420,Double Model Lasso Matching Mean,32.112143834024224,0
421,Double Model Lasso Matching Mean,158.7881928940393,0
422,Double Model Lasso Matching Mean,75.42138494477952,0
423,Double Model Lasso Matching Mean,81.74832922287383,0
424,Double Model Lasso Matching Mean,60.81134755197365,0
425,Double Model Lasso Matching Mean,84.27252614993739,0
426,Double Model Lasso Matching Mean,35.389797882501945,0
427,Double Model Lasso Matching Mean,18.08653868315716,0
428,Double Model Lasso Matching Mean,65.35748868355145,0
429,Double Model Lasso Matching Mean,61.976928055895144,0
430,Double Model Lasso Matching Mean,23.106553593692936,0
431,Double Model Lasso Matching Mean,64.52868767141197,0
432,Double Model Lasso Matching Mean,170.95711700547233,0
433,Double Model Lasso Matching Mean,5.854285956456435,0
434,Double Model Lasso Matching Mean,61.410761293761,0
435,Double Model Lasso Matching Mean,68.20331743551732,0
