,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,Method
0,0.19146241804700942,0.2539591233274111,0.009276060796418238,0.3389467677847577,0.15518509019627158,0.0,0.0015228187797678746,0.001698537924696618,0.024570111667610438,0.023379071476057313,LCM
1,0.22472537100310644,0.21494233309773783,0.006959100079898452,0.37829157179286166,0.11568084010017655,0.0,0.03421753448338944,0.010339834232946921,0.0006432818991898915,0.0142001333106929,LCM
2,0.23515396476950245,0.2255604520048327,0.0,0.36605643942975863,0.16697869947887967,0.0,0.0,0.006250444317026499,0.0,0.0,LCM
3,0.22863708507724909,0.22349643341531822,0.0,0.3272053388807284,0.17186429995220878,0.0,0.004164131935308999,0.04463271073918663,0.0,0.0,LCM
4,0.18759214511502043,0.21246516428214332,0.0,0.4011750074908158,0.1431315098702309,0.0,0.008953052489571445,0.0,0.010208320440179634,0.03647480031203828,LCM
0,0.18458941839970483,0.31928524390103424,0.014146361624656935,0.34120592736993266,0.12957443883201408,0.0,0.0030456375595357492,0.0,0.008152972313121728,0.0,"Metalearner
LCM M_C"
1,0.27088070362951316,0.22866701173153828,0.0,0.35503329406139084,0.09650990610391742,0.0,0.04890908447364035,0.0,0.0,0.0,"Metalearner
LCM M_C"
2,0.21612473027326207,0.22733976674342207,0.0,0.37005361479473287,0.17398099955453014,0.0,0.0,0.012500888634053,0.0,0.0,"Metalearner
LCM M_C"
3,0.1885310610356282,0.25173461584400914,0.0,0.32561896824958536,0.15814793359867624,0.0,0.0,0.0759674212721011,0.0,0.0,"Metalearner
LCM M_C"
4,0.2220943775937117,0.2545521387023403,0.0,0.3908444455553569,0.1231215289385194,0.0,0.0,0.0,0.009387509210071626,0.0,"Metalearner
LCM M_C"
0,0.19833541769431393,0.18863300275378792,0.00440575996817954,0.33668760819958254,0.180795741560529,0.0,0.0,0.003397075849393235,0.04098725102209913,0.04675814295211461,"Metalearner
LCM M_T"
1,0.17857003837669963,0.20121765446393738,0.0139182001597969,0.4015498495243325,0.1348517740964357,0.0,0.019525984493138526,0.02067966846589384,0.0012865637983797828,0.028400266621385794,"Metalearner
LCM M_T"
2,0.2541831992657429,0.2237811372662434,0.0,0.36205926406478445,0.15997639940322922,0.0,0.0,0.0,0.0,0.0,"Metalearner
LCM M_T"
3,0.26874310911886995,0.19525825098662722,0.0,0.32879170951187137,0.1855806663057413,0.0,0.008328263870617997,0.01329800020627216,0.0,0.0,"Metalearner
LCM M_T"
4,0.15308991263632926,0.17037818986194636,0.0,0.4115055694262749,0.16314149080194248,0.0,0.017906104979142898,0.0,0.011029131670287648,0.07294960062407659,"Metalearner
LCM M_T"
