,iter,lb,ub,stderr,coverage,Method
0,0,25.026962715691468,26.591541241337737,0.3930212666948937,0,BART
1,1,28.201386208770682,29.99706031930099,0.45107235074719754,0,BART
2,2,23.995319853217428,25.84289776031643,0.4641105559502736,0,BART
3,3,24.496526777124334,25.984344801008287,0.37373907079341323,0,BART
4,4,24.765228154757203,26.672636987529664,0.4791400516325032,0,BART
5,5,24.268687338856562,25.943107622838493,0.4206134560861188,0,BART
6,6,26.13541804086615,27.846506110239694,0.4298243836460219,0,BART
7,7,24.744138057261118,26.32856434483722,0.3980070135953241,0,BART
8,8,26.490390490532985,28.483649225360526,0.5007054998974816,0,BART
9,9,24.328301949593072,26.170991192387465,0.46288252616081393,0,BART
10,10,27.79633803418484,29.661461540653715,0.46851800087952133,0,BART
11,11,27.01716310649274,28.69710160246402,0.42199962790836687,0,BART
12,12,26.588582774407204,28.313784209147354,0.4333696532779309,0,BART
13,13,25.50803631176781,27.216366523962165,0.42913161143666306,0,BART
14,14,23.51446316557655,25.13270643312284,0.406501820398447,0,BART
15,15,27.514750779226386,29.502485654657047,0.4993179094495634,0,BART
16,16,24.81993198140954,26.672189503327814,0.4652860726237844,0,BART
17,17,26.7137859672588,28.31632338640003,0.4025565199015436,0,BART
18,18,26.348963043098006,28.44153494616724,0.5256529132372574,0,BART
19,19,24.785323609471853,26.73791998802372,0.4904911383245052,0,BART
20,20,26.494434462222443,28.272189308368866,0.4465710413715709,0,BART
21,21,28.430803963348183,30.31282277313845,0.472762091798399,0,BART
22,22,25.17114883019149,27.029372634891473,0.46678479958308483,0,BART
23,23,26.577002451280492,28.341322948347482,0.4431963402582228,0,BART
24,24,26.95754611522354,28.780555834262504,0.45793904059743096,0,BART
25,25,26.426424768752327,28.354533151986423,0.4843397673444957,0,BART
26,26,25.846347276271434,27.351357630749465,0.37805777480012354,0,BART
27,27,26.07953108756176,27.476415906102055,0.35089669953305674,0,BART
28,28,25.482481751667574,27.02204701432974,0.38673794876546896,0,BART
29,29,24.080118123567612,25.540533354012833,0.3668555041256283,0,BART
30,30,23.628620477642233,25.36896088841785,0.437172555746803,0,BART
31,31,26.7333095667623,28.33765149259274,0.4030098109912069,0,BART
